time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
0.29400000,-19.99999995,19.99999986,1.88964147,0.00000000,-0.00000001,-0.00000005,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.00000000,0.00000003,-0.00000001,0.00000000,1,0.00000000
0.35400000,-19.99995688,19.99999984,1.88972188,0.00412140,-0.00000130,0.01708198,0.00000000,0.00000000,0.00000000,0.99989958,-0.00000460,0.01417110,0.00002986,-0.00168600,1.11416427,0.00195001,1,0.00000000
0.43400000,-19.99740400,20.00000029,1.89349942,0.07720159,0.00000894,0.06802189,0.01915874,0.00000000,-0.00000000,0.99665555,-0.00005220,0.08171704,0.00017358,-0.00596629,1.96471772,0.00545028,2,0.00000000
0.49400000,-19.98908991,20.00000308,1.89782204,0.20881907,0.00006640,0.07151470,0.40631877,0.00000000,-0.00000008,0.99008695,-0.00003779,0.14045535,0.00035353,-0.00888707,1.91488048,0.00635682,4,0.00000000
0.57400000,-19.96195626,20.00001712,1.90258987,0.48591142,0.00031317,0.04377388,4.02208819,0.00000002,-0.00000060,0.97629440,-0.00016004,0.21644590,0.00062147,-0.00609440,1.98564565,0.00576031,9,0.00000000
0.63400000,-19.92384798,20.00004827,1.90500949,0.79855604,0.00076079,0.04385894,6.86663970,0.00000003,-0.00000082,0.96039154,-0.00030479,0.27865278,0.00079357,-0.01362812,2.22442560,0.00421535,12,0.00000000
0.69400000,-19.86343357,20.00011948,1.90815723,1.22836499,0.00165562,0.06153899,9.13530198,0.00000003,-0.00000084,0.93975847,-0.00050514,0.34183753,0.00092911,-0.01515891,2.11812545,0.00274489,15,0.00000000
0.75400000,-19.77366871,20.00026156,1.91220659,1.77211085,0.00313578,0.06976395,10.48118449,0.00000002,-0.00000072,0.91829638,-0.00075131,0.39589155,0.00103859,-0.01217557,1.69553948,0.00147343,18,0.00000000
0.81700000,-19.64116874,20.00052700,1.91612037,2.43583346,0.00535482,0.04881239,11.04922411,0.00000001,-0.00000054,0.89988211,-0.00101286,0.43613056,0.00113714,-0.00778558,1.07003710,0.00095461,21,0.00000000
0.87700000,-19.47459530,20.00092622,1.91753090,3.10858449,0.00797878,-0.00548606,11.22266854,0.00000000,-0.00000037,0.89005496,-0.00121731,0.45584992,0.00124115,-0.00657658,0.37611659,0.00132229,24,0.00000000
0.95700000,-19.18912581,20.00172510,1.91356219,4.01357261,0.01201995,-0.09080538,11.34995870,-0.00000000,-0.00000017,0.89188659,-0.00138288,0.45225482,0.00140500,-0.00464776,-0.56463379,0.00161320,28,0.00000000
1.01700000,-18.92823183,20.00254543,1.90678175,4.66579168,0.01529957,-0.12835960,11.34014966,-0.00000001,0.00000001,0.90331087,-0.00145816,0.42898125,0.00156236,-0.00471397,-1.15810850,0.00229588,31,0.00000000
1.07700000,-18.62969256,20.00356656,1.89898655,5.26427685,0.01870205,-0.12380086,10.85738225,-0.00000002,0.00000021,0.92050706,-0.00152659,0.39071891,0.00177753,-0.00552436,-1.64731180,0.00324926,34,0.00000000
1.15800000,-18.17457995,20.00527175,1.89148304,5.93182222,0.02332552,-0.05385133,8.75639610,-0.00000003,0.00000042,0.94754132,-0.00161108,0.31962188,0.00216892,-0.00914130,-2.07774500,0.00526109,38,0.00000000
1.21800000,-17.80728373,20.00677111,1.89027008,6.28340632,0.02654767,0.01095135,5.99920133,-0.00000002,0.00000042,0.96687487,-0.00166131,0.25523272,0.00254427,-0.00787710,-2.33354201,0.00751473,41,0.00000000
1.27800000,-17.42292011,20.00845184,1.89240568,6.50391700,0.02935339,0.05443533,2.89846619,-0.00000001,0.00000027,0.98289631,-0.00164471,0.18412835,0.00298160,-0.00302081,-2.43782862,0.00994711,44,0.00000000
1.36000000,-16.88329725,20.01098649,1.89779109,6.62647904,0.03224691,0.07002849,0.24478875,-0.00000000,0.00000003,0.99581108,-0.00140701,0.09135275,0.00360481,-0.00008384,-1.96475601,0.01228355,48,0.00000000
1.42000000,-16.48549108,20.01296606,1.90185128,6.62390325,0.03359650,0.06418841,0.00000000,0.00000000,0.00000000,0.99908111,-0.00102558,0.04265734,0.00402843,0.00806099,-1.23443406,0.01251952,52,0.00000000
1.50000000,-15.95804890,20.01563686,1.91012851,6.55567914,0.02978707,0.21204641,0.30003835,-0.44054737,0.78210361,0.99970237,0.01009080,0.02177070,0.00440267,0.70597233,0.44312314,0.01226392,56,0.00000000
1.56000000,-15.56610201,20.01652706,1.92990954,6.51787012,-0.00579066,0.42537361,0.80095501,-0.85935758,1.30611088,0.99797583,0.03635458,0.05200069,0.00430223,0.91413388,1.45775320,-0.00944162,59,0.00000000
1.64000000,-15.04345742,20.01226852,1.97187156,6.57175403,-0.11082730,0.61880345,1.26504891,-1.52631557,1.32318874,0.98977059,0.07302212,0.12251134,0.00359574,1.23495909,1.85820261,-0.04516748,62,0.00000000
1.70000000,-14.64541209,20.00173850,2.01296283,6.70551356,-0.24748124,0.74219261,1.64514395,-2.19599470,1.14923605,0.97884310,0.11333598,0.17035592,0.00002114,1.42575756,1.26175059,-0.08465245,65,0.00000000
1.78000000,-14.10008644,19.97240294,2.07445998,6.91747359,-0.48447326,0.74364244,1.76764901,-2.66424284,0.10457533,0.96497148,0.16670532,0.20233324,-0.01003143,1.34984377,0.54332244,-0.10413543,69,0.00000000
1.84000000,-13.68012568,19.93704151,2.11695458,7.08863420,-0.70174674,0.69633237,1.71000801,-2.47042405,-0.41180945,0.96164131,0.17566737,0.21008283,-0.01588014,-0.63843758,-0.19188869,-0.24391401,72,0.00000000
1.92000000,-13.10418886,19.87035588,2.17039951,7.29224673,-0.93819892,0.62613665,1.29044544,-1.87773489,-0.92296633,0.97631387,0.11376043,0.18298984,-0.01960902,-2.21964772,-1.32291645,-0.32607213,76,0.00000000
1.98000000,-12.66332297,19.81103840,2.20664252,7.39751628,-1.03001073,0.61030616,0.70393082,-1.88288104,-0.85249914,0.98895970,0.06097968,0.13291606,-0.02394795,-0.64176118,-2.08220607,-0.23863672,79,0.00000000
2.04100000,-12.21032163,19.74601429,2.24600784,7.43833461,-1.10175993,0.68262209,0.01314758,-2.13780810,-0.48413367,0.99504364,0.06652281,0.06508621,-0.03502359,1.06561228,-2.34714772,-0.20015036,82,0.00000000
2.12100000,-11.61824138,19.65182388,2.30865602,7.33249132,-1.27389270,0.91282309,-1.20982985,-2.56556065,0.78875427,0.99115966,0.11979420,-0.02202106,-0.05260180,1.52832753,-1.87161398,-0.25596528,87,0.00000000
2.18100000,-11.18367495,19.56961029,2.36877073,7.14561640,-1.46790847,1.07307133,-1.74266721,-2.44599596,1.58883441,0.98388101,0.15252294,-0.06650602,-0.06551229,0.53432807,-0.98391656,-0.30782528,90,0.00000000
2.26100000,-10.62459166,19.44084450,2.46273117,6.83235034,-1.74081787,1.27853301,-1.86535556,-1.84681841,2.09798800,0.98492443,0.13299635,-0.07397466,-0.08224102,-1.42017817,0.31869921,-0.37095592,93,0.00000000
2.36100000,-9.95765663,19.25641217,2.60041826,6.54617846,-1.89934343,1.43104346,-1.11378536,-0.19603811,1.37374905,0.99430715,0.02446958,-0.01300505,-0.10288539,-3.28342882,1.48855659,-0.39210655,98,0.00000000
2.42100000,-9.56698422,19.14334103,2.68527418,6.49204759,-1.85421809,1.36872802,-0.36779612,1.13581418,-0.10983097,0.98813751,-0.08825049,0.05317917,-0.11387751,-4.62028152,2.04190639,-0.38772956,100,0.00000000
2.50100000,-9.04670172,19.00151915,2.78245114,6.53051777,-1.67566488,1.02606323,0.44696345,2.75533527,-2.72631700,0.93968415,-0.27911141,0.15626942,-0.12112141,-5.52607301,1.87372728,-0.34450415,104,0.00000000
2.58200000,-8.51299755,18.87763407,2.84554358,6.66347972,-1.35314295,0.52137491,0.76493105,4.66979006,-5.85352004,0.84038521,-0.48353475,0.22078113,-0.10584204,-5.91759193,0.18834947,-0.41643129,107,0.00000000
2.64200000,-8.10867165,18.80847065,2.86340123,6.81937884,-0.91813472,0.06731279,0.81700088,5.78595477,-7.11280331,0.75008372,-0.61946357,0.21982826,-0.07290293,-4.86464325,-0.79994933,-0.41050777,110,0.00000000
2.70200000,-7.69513098,18.76972959,2.85053780,6.94993718,-0.38667197,-0.50630156,0.66657620,6.82549257,-8.19946272,0.67711260,-0.70898380,0.19442638,-0.03254057,-3.13174444,-1.58847039,-0.36317503,113,0.00000000
2.78300000,-7.12884607,18.76889895,2.77317086,7.01251803,0.40067011,-1.40833562,0.01260425,7.68195345,-7.79916454,0.64586444,-0.75135587,0.13176383,0.03101249,0.40271702,-2.39001512,-0.22765820,116,0.00000000
2.84300000,-6.70908714,18.81300994,2.66859438,6.96592514,1.05791872,-2.05003617,-0.56499857,8.03720133,-6.66700420,0.69278971,-0.71213620,0.08040594,0.08024549,2.94280528,-2.76699678,-0.04204014,119,0.00000000
2.92300000,-6.15866603,18.93328893,2.47731967,6.77041571,1.94331680,-2.66432568,-1.36204992,7.96363289,-4.02247471,0.79875842,-0.58214379,0.01239864,0.15145914,4.58060427,-3.05546233,0.12198443,122,0.00000000
2.98300000,-5.75986510,19.07032539,2.31079670,6.51091357,2.60542244,-2.83463674,-1.93929666,7.61000280,-1.56358666,0.87229760,-0.44315435,-0.03438707,0.20378579,5.12598275,-2.90835253,0.19709438,125,0.00000000
3.05200000,-5.32413174,19.27299510,2.11935146,6.11269057,3.21718796,-2.64942108,-2.51080821,6.81573959,1.61414482,0.92985192,-0.25713513,-0.07181720,0.25317824,5.32424242,-2.37049728,0.22595853,127,0.00000000
